province,latitude,longitude,date,avg_temp,max_temp,min_temp,precipitation_mm
Albacete,39.0,-1.85,2025-06-20,27.4,34.7,19.1,0.3
Albacete,39.0,-1.85,2025-06-21,27.8,36.2,19.6,0.3
Albacete,39.0,-1.85,2025-06-22,28.8,36.4,21.8,0.0
Albacete,39.0,-1.85,2025-06-23,27.9,35.6,19.9,0.0
Albacete,39.0,-1.85,2025-06-24,26.9,34.8,20.0,0.0
Albacete,39.0,-1.85,2025-06-25,25.8,34.5,18.2,0.3
Albacete,39.0,-1.85,2025-06-26,25.1,32.6,17.0,0.0
Albacete,39.0,-1.85,2025-06-27,27.1,36.3,18.2,0.0
Albacete,39.0,-1.85,2025-06-28,30.4,39.2,22.6,0.0
Albacete,39.0,-1.85,2025-06-29,30.0,37.3,24.4,0.0
Albacete,39.0,-1.85,2025-06-30,31.4,39.1,25.1,0.0
Albacete,39.0,-1.85,2025-07-01,30.0,37.1,23.9,0.0
Albacete,39.0,-1.85,2025-07-02,32.4,40.9,24.8,0.0
Albacete,39.0,-1.85,2025-07-03,32.1,39.3,25.4,0.0
Alicante,38.3453,-0.4831,2025-06-20,27.0,31.0,22.5,0.0
Alicante,38.3453,-0.4831,2025-06-21,27.3,31.5,23.0,0.0
Alicante,38.3453,-0.4831,2025-06-22,27.7,32.3,22.5,0.0
Alicante,38.3453,-0.4831,2025-06-23,27.9,33.5,22.5,0.0
Alicante,38.3453,-0.4831,2025-06-24,27.4,32.6,22.6,0.0
Alicante,38.3453,-0.4831,2025-06-25,27.8,33.0,23.8,0.0
Alicante,38.3453,-0.4831,2025-06-26,28.2,34.9,23.3,0.0
Alicante,38.3453,-0.4831,2025-06-27,26.0,30.9,21.6,0.0
Alicante,38.3453,-0.4831,2025-06-28,27.9,30.3,25.5,0.0
Alicante,38.3453,-0.4831,2025-06-29,29.2,31.5,26.9,0.0
Alicante,38.3453,-0.4831,2025-06-30,29.6,31.5,27.3,0.0
Alicante,38.3453,-0.4831,2025-07-01,29.0,30.3,27.0,0.0
Alicante,38.3453,-0.4831,2025-07-02,30.1,32.6,27.5,0.0
Alicante,38.3453,-0.4831,2025-07-03,30.5,32.2,28.7,0.0
Almería,36.8381,-2.4597,2025-06-20,29.8,35.1,24.5,0.0
Almería,36.8381,-2.4597,2025-06-21,29.2,33.3,25.0,0.0
Almería,36.8381,-2.4597,2025-06-22,30.9,35.7,25.6,0.0
Almería,36.8381,-2.4597,2025-06-23,31.8,36.6,27.4,0.0
Almería,36.8381,-2.4597,2025-06-24,28.1,30.7,25.2,0.0
Almería,36.8381,-2.4597,2025-06-25,27.0,31.0,22.6,0.0
Almería,36.8381,-2.4597,2025-06-26,27.7,33.0,22.7,0.0
Almería,36.8381,-2.4597,2025-06-27,29.1,34.0,24.6,0.0
Almería,36.8381,-2.4597,2025-06-28,31.1,35.5,27.4,0.0
Almería,36.8381,-2.4597,2025-06-29,31.5,37.7,27.0,0.0
Almería,36.8381,-2.4597,2025-06-30,31.1,34.3,28.0,0.0
Almería,36.8381,-2.4597,2025-07-01,33.4,38.0,29.5,0.0
