province,latitude,longitude,date,avg_temp,max_temp,min_temp,precipitation_mm
Albacete,39.0,-1.85,2025-10-14,16.8,22.1,12.9,0.0
Albacete,39.0,-1.85,2025-10-15,17.0,22.8,12.5,0.0
Albacete,39.0,-1.85,2025-10-16,17.5,22.1,14.4,0.0
Albacete,39.0,-1.85,2025-10-17,17.0,22.1,13.3,0.0
Albacete,39.0,-1.85,2025-10-18,16.0,22.1,11.4,0.0
Albacete,39.0,-1.85,2025-10-19,15.6,23.0,8.6,0.0
Albacete,39.0,-1.85,2025-10-20,16.6,22.7,11.4,0.0
Albacete,39.0,-1.85,2025-10-21,18.9,24.2,14.4,0.0
Albacete,39.0,-1.85,2025-10-22,19.6,24.2,16.5,0.0
Albacete,39.0,-1.85,2025-10-23,20.1,27.1,15.3,0.0
Albacete,39.0,-1.85,2025-10-24,21.4,25.7,17.7,0.0
Albacete,39.0,-1.85,2025-10-25,19.2,23.7,15.1,0.6
Albacete,39.0,-1.85,2025-10-26,18.5,22.9,14.5,0.0
Albacete,39.0,-1.85,2025-10-27,17.8,24.0,12.9,0.0
Alicante,38.3453,-0.4831,2025-10-14,21.1,25.2,17.6,0.0
Alicante,38.3453,-0.4831,2025-10-15,20.3,23.6,16.9,0.0
Alicante,38.3453,-0.4831,2025-10-16,20.1,22.6,18.1,0.0
Alicante,38.3453,-0.4831,2025-10-17,19.7,23.5,16.0,0.0
Alicante,38.3453,-0.4831,2025-10-18,19.6,23.6,16.5,0.0
Alicante,38.3453,-0.4831,2025-10-19,18.2,23.0,14.4,0.0
Alicante,38.3453,-0.4831,2025-10-20,17.5,22.0,13.0,0.0
Alicante,38.3453,-0.4831,2025-10-21,20.9,24.3,17.4,0.0
Alicante,38.3453,-0.4831,2025-10-22,24.2,28.4,21.5,0.0
Alicante,38.3453,-0.4831,2025-10-23,24.8,28.7,22.5,0.0
Alicante,38.3453,-0.4831,2025-10-24,25.5,30.4,22.2,0.0
Alicante,38.3453,-0.4831,2025-10-25,23.2,25.7,21.2,0.0
Alicante,38.3453,-0.4831,2025-10-26,21.9,23.7,21.1,0.0
Alicante,38.3453,-0.4831,2025-10-27,21.5,23.7,19.9,0.0
Almería,36.8381,-2.4597,2025-10-14,21.4,24.8,18.3,0.0
Almería,36.8381,-2.4597,2025-10-15,21.1,25.4,17.4,0.0
Almería,36.8381,-2.4597,2025-10-16,20.8,24.6,17.7,0.0
Almería,36.8381,-2.4597,2025-10-17,21.6,26.8,17.9,0.0
Almería,36.8381,-2.4597,2025-10-18,21.7,26.3,17.8,0.0
Almería,36.8381,-2.4597,2025-10-19,21.0,24.5,17.9,0.0
Almería,36.8381,-2.4597,2025-10-20,19.9,23.5,15.3,0.0
Almería,36.8381,-2.4597,2025-10-21,20.8,22.7,19.0,0.0
Almería,36.8381,-2.4597,2025-10-22,21.8,23.9,19.9,0.0
Almería,36.8381,-2.4597,2025-10-23,23.8,26.4,21.9,0.0
Almería,36.8381,-2.4597,2025-10-24,22.4,24.3,20.3,0.0
Almería,36.8381,-2.4597,2025-10-25,25.0,27.8,22.9,0.0
Almería,36.8381,-2.4597,2025-10-26,22.7,25.2,20.5,0.0
Almería,36.8381,-2.4597,2025-10-27,22.1,24.5,20.5,0.0
Álava,42.85,-2.6833,2025-10-14,16.7,23.5,11.9,0.0
Álava,42.85,-2.6833,2025-10-15,15.3,23.1,11.2,0.0
Álava,42.85,-2.6833,2025-10-16,15.2,23.3,9.9,0.0
Álava,42.85,-2.6833,2025-10-17,15.7,23.7,10.2,0.0
Álava,42.85,-2.6833,2025-10-18,15.8,24.9,7.7,0.0
Álava,42.85,-2.6833,2025-10-19,16.2,21.9,11.5,0.0
Álava,42.85,-2.6833,2025-10-20,16.9,19.0,13.4,2.4
Álava,42.85,-2.6833,2025-10-21,17.9,24.8,13.1,1.2
Álava,42.85,-2.6833,2025-10-22,17.2,22.4,13.7,0.0
Álava,42.85,-2.6833,2025-10-23,19.2,25.3,13.9,0.3
Álava,42.85,-2.6833,2025-10-24,17.3,21.5,12.0,1.5
Álava,42.85,-2.6833,2025-10-25,13.9,19.2,10.6,0.0
Álava,42.85,-2.6833,2025-10-26,14.3,20.5,11.0,0.0
Álava,42.85,-2.6833,2025-10-27,14.3,21.6,9.5,0.0
